[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.003s][info][gc       ] Using G1
[0.404s][info][metaspace] Reserving compressed class space anywhere
[0.409s][info][gc,metaspace] CDS archive(s) not mapped
[0.409s][info][gc,metaspace] Compressed class space mapped at: 0x0000000037000000-0x00000000f7000000, reserved size: 3221225472
[0.409s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, narrow klass pointer bits 22, max shift 10
[0.409s][info][gc,metaspace] Narrow klass base: 0x0000000037000000, Narrow klass shift: 10, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...[1.429s][info][gc,metaspace] GC(0) Metaspace: 21739K(22016K)->21739K(22016K) NonClass: 18026K(18176K)->18026K(18176K) Class: 3712K(3840K)->3712K(3840K)
[15.072s][info][gc,metaspace] GC(31) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[15.072s][info][gc          ] GC(31) Pause Full (System.gc()) 775M->775M(6144M) 316.269ms
[15.412s][info][gc,metaspace] GC(32) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[15.412s][info][gc          ] GC(32) Pause Full (System.gc()) 775M->775M(6144M) 340.371ms
[15.747s][info][gc,metaspace] GC(33) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[15.747s][info][gc          ] GC(33) Pause Full (System.gc()) 775M->775M(6144M) 334.830ms
[16.070s][info][gc,metaspace] GC(34) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[16.070s][info][gc          ] GC(34) Pause Full (System.gc()) 775M->775M(6144M) 322.914ms
[16.442s][info][gc,metaspace] GC(35) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[16.442s][info][gc          ] GC(35) Pause Full (System.gc()) 775M->775M(6144M) 371.721ms
[16.775s][info][gc,metaspace] GC(36) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[16.775s][info][gc          ] GC(36) Pause Full (System.gc()) 775M->775M(6144M) 332.981ms
[17.103s][info][gc,metaspace] GC(37) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[17.103s][info][gc          ] GC(37) Pause Full (System.gc()) 775M->775M(6144M) 328.280ms
[17.465s][info][gc,metaspace] GC(38) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[17.465s][info][gc          ] GC(38) Pause Full (System.gc()) 775M->775M(6144M) 361.546ms
[17.803s][info][gc,metaspace] GC(39) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[17.803s][info][gc          ] GC(39) Pause Full (System.gc()) 775M->775M(6144M) 338.116ms
[18.155s][info][gc,metaspace] GC(40) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[18.156s][info][gc          ] GC(40) Pause Full (System.gc()) 775M->775M(6144M) 352.353ms
[18.495s][info][gc,metaspace] GC(41) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[18.495s][info][gc          ] GC(41) Pause Full (System.gc()) 775M->775M(6144M) 339.662ms
[18.835s][info][gc,metaspace] GC(42) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[18.835s][info][gc          ] GC(42) Pause Full (System.gc()) 775M->775M(6144M) 339.977ms
[19.154s][info][gc,metaspace] GC(43) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[19.154s][info][gc          ] GC(43) Pause Full (System.gc()) 775M->775M(6144M) 318.237ms
[19.488s][info][gc,metaspace] GC(44) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[19.488s][info][gc          ] GC(44) Pause Full (System.gc()) 775M->775M(6144M) 334.481ms
[19.822s][info][gc,metaspace] GC(45) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[19.822s][info][gc          ] GC(45) Pause Full (System.gc()) 775M->775M(6144M) 334.129ms
[20.180s][info][gc,metaspace] GC(46) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[20.180s][info][gc          ] GC(46) Pause Full (System.gc()) 775M->775M(6144M) 357.208ms
[20.525s][info][gc,metaspace] GC(47) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[20.525s][info][gc          ] GC(47) Pause Full (System.gc()) 775M->775M(6144M) 345.483ms
[20.845s][info][gc,metaspace] GC(48) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[20.845s][info][gc          ] GC(48) Pause Full (System.gc()) 775M->775M(6144M) 319.954ms
[21.179s][info][gc,metaspace] GC(49) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[21.179s][info][gc          ] GC(49) Pause Full (System.gc()) 775M->775M(6144M) 333.451ms
[21.549s][info][gc,metaspace] GC(50) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[21.549s][info][gc          ] GC(50) Pause Full (System.gc()) 775M->775M(6144M) 370.551ms
[21.874s][info][gc,metaspace] GC(51) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[21.874s][info][gc          ] GC(51) Pause Full (System.gc()) 775M->775M(6144M) 324.610ms
[22.221s][info][gc,metaspace] GC(52) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[22.221s][info][gc          ] GC(52) Pause Full (System.gc()) 775M->775M(6144M) 346.964ms
[22.563s][info][gc,metaspace] GC(53) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[22.563s][info][gc          ] GC(53) Pause Full (System.gc()) 775M->775M(6144M) 341.765ms
[22.917s][info][gc,metaspace] GC(54) Metaspace: 23735K(24256K)->23735K(24256K) NonClass: 19631K(19904K)->19631K(19904K) Class: 4104K(4352K)->4104K(4352K)
[22.917s][info][gc          ] GC(54) Pause Full (System.gc()) 775M->775M(6144M) 354.595ms
