[0.001s][info][metaspace]  - commit_granule_bytes: 65536.
[0.001s][info][metaspace]  - commit_granule_words: 8192.
[0.001s][info][metaspace]  - virtual_space_node_default_size: 8388608.
[0.001s][info][metaspace]  - enlarge_chunks_in_place: 1.
[0.001s][info][metaspace]  - use_allocation_guard: 0.
[0.005s][info][gc       ] Using Parallel
[0.377s][info][metaspace] Reserving compressed class space anywhere
[0.377s][info][gc,metaspace] CDS archive(s) not mapped
[0.377s][info][gc,metaspace] Compressed class space mapped at: 0x0000000007000000-0x00000000c7000000, reserved size: 3221225472
[0.377s][info][gc,metaspace] UseCompressedClassPointers 1, UseCompactObjectHeaders 1, UseKlassTable 0, narrow klass pointer bits 26, max shift 6
[0.377s][info][gc,metaspace] Narrow klass base: 0x0000000007000000, Narrow klass shift: 6, Narrow klass range: 0xc0000000
Num Classes: 256
Num Objects per Class: 262144
Cycles: 100
Class association: random
Generate 256 classes...
Loading 256...[1.985s][info][gc,metaspace] GC(0) Metaspace: 23063K(23488K)->23063K(23488K) NonClass: 20457K(20672K)->20457K(20672K) Class: 2606K(2816K)->2606K(2816K)
[27.798s][info][gc,metaspace] GC(60) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[27.798s][info][gc          ] GC(60) Pause Young (System.gc()) 771M->771M(5888M) 0.480ms
[28.408s][info][gc,metaspace] GC(61) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[28.408s][info][gc          ] GC(61) Pause Full (System.gc()) 771M->771M(5888M) 610.421ms
[28.413s][info][gc,metaspace] GC(62) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[28.413s][info][gc          ] GC(62) Pause Young (System.gc()) 771M->771M(5888M) 0.531ms
[29.007s][info][gc,metaspace] GC(63) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[29.007s][info][gc          ] GC(63) Pause Full (System.gc()) 771M->771M(5888M) 594.039ms
[29.008s][info][gc,metaspace] GC(64) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[29.008s][info][gc          ] GC(64) Pause Young (System.gc()) 771M->771M(5888M) 0.461ms
[29.714s][info][gc,metaspace] GC(65) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[29.714s][info][gc          ] GC(65) Pause Full (System.gc()) 771M->771M(5888M) 706.344ms
[29.715s][info][gc,metaspace] GC(66) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[29.715s][info][gc          ] GC(66) Pause Young (System.gc()) 771M->771M(5888M) 0.460ms
[30.321s][info][gc,metaspace] GC(67) Metaspace: 24003K(24640K)->24003K(24640K) NonClass: 21265K(21568K)->21265K(21568K) Class: 2738K(3072K)->2738K(3072K)
[30.321s][info][gc          ] GC(67) Pause Full (System.gc()) 771M->771M(5888M) 606.232ms
